Company,Location,Role,Salary,StartDate,Status,SubmitDate,Year
FACEBOOK INC,"MENLO PARK, CA",DATA SCIENTIST,170000,12/01/2014,CERTIFIED,11/12/2014,2014
BED BATH AND BEYOND INC,"UNION, NJ",DATA SCIENTIST,175000,10/20/2014,CERTIFIED,10/14/2014,2014
MY LIFE REGISTRY LLC,"FORT LEE, NJ",DATA SCIENTIST,47960,08/20/2015,CERTIFIED,02/18/2015,2015
NEXTECH SOLUTIONS,"COLLIERVILLE, TN",DATA SCIENTIST,70000,09/10/2015,CERTIFIED,03/13/2015,2015
CIGNIFI INC,"NATICK, MA",DATA SCIENTIST,90000,05/01/2015,CERTIFIED,04/10/2015,2015
PUBLIC ENGINES INC,"DRAPER, UT",DATA SCIENTIST,96160,02/09/2015,CERTIFIED,02/09/2015,2015
SOLOMON CONSULTING GROUP LLC,"LENEXA, KS",DATA SCIENTIST,114000,12/15/2015,CERTIFIED,12/10/2015,2015
4RC IO LLC,"MCLEAN, VA",DATA SCIENTIST,130000,03/25/2015,CERTIFIED,03/19/2015,2015
MCKINSEY & COMPANY INC UNITED STATES,"WALTHAM, MA",DATA SCIENTIST,131860,08/15/2015,CERTIFIED,03/30/2015,2015
SOVRN HOLDINGS INC,"BOULDER, CO",DATA SCIENTIST,45150,09/04/2015,CERTIFIED,03/05/2015,2015
ORACLE AMERICA INC,"WESTMINSTER, CO",DATA SCIENTIST,46800,09/16/2015,CERTIFIED,03/20/2015,2015
ORACLE AMERICA INC,"WESTMINSTER, CO",DATA SCIENTIST,46800,05/25/2015,CERTIFIED,05/20/2015,2015
BYO RECREATION INC,"ST.AUGUSTINE, FL",DATA SCIENTIST,50000,08/24/2015,CERTIFIED,02/24/2015,2015
CONEXLINK LLC,"ADDISON, TX",DATA SCIENTIST,50731,08/26/2015,CERTIFIED,02/24/2015,2015
CONEXLINK LLC,"CARROLLTON, TX",DATA SCIENTIST,50731,09/08/2015,CERTIFIED,03/10/2015,2015
SEGMINT INC,"AKRON, OH",DATA SCIENTIST,54142,09/05/2015,CERTIFIED,03/06/2015,2015
EVERBANK,"JACKSONVILLE, FL",DATA SCIENTIST,55550,09/08/2015,CERTIFIED,03/09/2015,2015
CIVICSCIENCE INC,"PITTSBURGH, PA",DATA SCIENTIST,57500,09/06/2015,CERTIFIED,03/13/2015,2015
CONCLUSIVE ANALYTICS INC,"HUNTERSVILLE, NC",DATA SCIENTIST,58656,08/27/2015,CERTIFIED,02/27/2015,2015
WAYFAIR LLC,"BOSTON, MA",DATA SCIENTIST,59738,10/19/2015,CERTIFIED,09/15/2015,2015
CENTERFIELD MEDIA,"EL SEGUNDO, CA",DATA SCIENTIST,60000,08/25/2015,CERTIFIED,02/24/2015,2015
EVERQUOTE INC,"CAMBRIDGE, MA",DATA SCIENTIST,60000,09/06/2015,CERTIFIED,03/09/2015,2015
CROWDSKOUT LLC,"WASHINGTON, DC",DATA SCIENTIST,60000,09/17/2015,CERTIFIED,03/18/2015,2015
EVERQUOTE INC,"CAMBRIDGE, MA",DATA SCIENTIST,60000,06/01/2015,CERTIFIED,05/22/2015,2015
ANTHEM INC,"CHICAGO, IL",DATA SCIENTIST,60466,12/01/2015,CERTIFIED,11/24/2015,2015
LHP SOFTWARE LLC,"COLUMBUS, IN",DATA SCIENTIST,62000,08/06/2015,CERTIFIED,02/07/2015,2015
WEBLINC CORP,"PHILADELPHIA, PA",DATA SCIENTIST,62525,09/19/2015,CERTIFIED,03/20/2015,2015
FRACTAL ANALYTICS INC,"JERSEY CITY, NJ",DATA SCIENTIST,62795,09/01/2015,CERTIFIED,03/04/2015,2015
DATALINE INC,"PRINCETON, NJ",DATA SCIENTIST,62816,09/09/2015,CERTIFIED,03/10/2015,2015
RIFINITI INC,"BOSTON, MA",DATA SCIENTIST,63045,09/02/2015,CERTIFIED,03/03/2015,2015
POINT72 ASSET MANAGEMENT LP,"NEW YORK, NY",DATA SCIENTIST,63107,08/16/2015,CERTIFIED,02/18/2015,2015
OWNERIQ INC,"BOSTON, MA",DATA SCIENTIST,63500,09/11/2015,CERTIFIED,03/12/2015,2015
VANTAGE MEDIA LLC,"EL SEGUNDO, CA",DATA SCIENTIST,65000,09/01/2015,CERTIFIED,03/02/2015,2015
XACTWARE SOLUTIONS INC,"LEHI, UT",DATA SCIENTIST,65000,09/15/2015,CERTIFIED,03/24/2015,2015
VIRTUE GROUP LLC,"ALPHARETTA, GA",DATA SCIENTIST,65500,11/09/2015,CERTIFIED,11/04/2015,2015
